,Player,Salary
0,Davante Adams,7600
1,Alvin Kamara,7500
2,A.J. Green,6400
3,Drew Brees,5700
4,Sterling Shepard,5700
5,Tyrell Williams,5100
6,DeShone Kizer,4700
7,Josh Dobbs,4400
8,Nick Foles,4300
9,Chad Kelly,4100
10,David Blough,4100
11,Duke Williams,4100
12,Trace McSorley,4000
13,C.J. Beathard,4000
14,Chris Thompson,4000
15,Alex Tanney,4000
16,Andrew Luck,4000
17,Alex McGough,4000
18,Parris Campbell,4000
19,Jake Dolegala,4000
20,Dexter Williams,3800
21,Justin Jackson,3700
22,Jared Cook,3600
23,Marqise Lee,3500
24,Tre'Quan Smith,3300
25,Derrius Guice,3300
26,Russell Shepard,3300
27,Isaiah Crowell,3300
28,Paul Perkins,3100
29,Stanley Morgan,3100
30,Senorise Perry,3100
31,John Ursua,3000
32,Gary Jennings,3000
33,Riley Ridley,3000
34,Kyle Juszczyk,3000
35,D.J. Foster,3000
36,Devin Funchess,3000
37,Danny Vitale,3000
38,Jalin Marshall,3000
39,C.J. Ham,3000
40,Roc Thomas,3000
41,Chandler Cox,3000
42,Geoff Swaim,2900
43,Bradley Sowell,2600
44,Irv Smith,2600
45,Will Dissly,2500
46,Tyler Ott,2500
47,Patrick Scales,2500
48,Beau Brinkley,2500
49,Garrison Sanborn,2500
50,Matt Orzech,2500
51,Clark Harris,2500
