,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Marvin Jones,David Njoku,Todd Gurley,Carolina Panthers,151.74399999999997,50000
1,Jameis Winston,Nick Chubb,Duke Johnson,Jermaine Kearse,Adam Thielen,DeAndre Hopkins,David Njoku,Todd Gurley,Buffalo Bills,150.834,49800
2,Jameis Winston,Nick Chubb,Duke Johnson,Jermaine Kearse,Adam Thielen,DeAndre Hopkins,David Njoku,Todd Gurley,Tampa Bay Buccaneers,150.734,49800
3,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Keelan Cole,David Njoku,Todd Gurley,Buffalo Bills,150.63400000000001,49800
4,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Keelan Cole,David Njoku,Todd Gurley,Tampa Bay Buccaneers,150.53400000000002,49800
5,Jameis Winston,Nick Chubb,Duke Johnson,Jermaine Kearse,Adam Thielen,DeAndre Hopkins,David Njoku,Todd Gurley,Carolina Panthers,150.534,49700
6,Jameis Winston,Duke Johnson,Bilal Powell,Jermaine Kearse,Golden Tate,Adam Thielen,David Njoku,Todd Gurley,Buffalo Bills,150.524,49900
7,Jameis Winston,Duke Johnson,Bilal Powell,Jermaine Kearse,Golden Tate,Adam Thielen,David Njoku,Todd Gurley,Tampa Bay Buccaneers,150.424,49900
8,Jameis Winston,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Golden Tate,Adam Thielen,David Njoku,Todd Gurley,Buffalo Bills,150.42399999999998,49800
9,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Michael Crabtree,Kyle Rudolph,Todd Gurley,Buffalo Bills,150.394,50000
10,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Robby Anderson,David Njoku,Todd Gurley,Buffalo Bills,150.38400000000001,49700
11,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Keelan Cole,David Njoku,Todd Gurley,Carolina Panthers,150.334,49700
12,Jameis Winston,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Golden Tate,Adam Thielen,David Njoku,Todd Gurley,Tampa Bay Buccaneers,150.32399999999998,49800
13,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Michael Crabtree,Kyle Rudolph,Todd Gurley,Tampa Bay Buccaneers,150.294,50000
14,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Robby Anderson,David Njoku,Todd Gurley,Tampa Bay Buccaneers,150.28400000000002,49700
15,Jameis Winston,Duke Johnson,Bilal Powell,Jermaine Kearse,Golden Tate,Adam Thielen,David Njoku,Todd Gurley,Carolina Panthers,150.224,49800
16,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Marvin Jones,Kyle Rudolph,Todd Gurley,Buffalo Bills,150.194,49800
17,Jameis Winston,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Golden Tate,Adam Thielen,David Njoku,Todd Gurley,Carolina Panthers,150.12399999999997,49700
18,Jameis Winston,Nick Chubb,Duke Johnson,Golden Tate,Adam Thielen,Michael Crabtree,Kyle Rudolph,Todd Gurley,Carolina Panthers,150.094,49900
